Abnormality of body height	HP:0000002
Thin body habitus	HP:0001533
Slender build	HP:0001533
General overgrowth	HP:0001548
Overgrowth	HP:0001548
Fetal overgrowth	HP:0001548
Generalized overgrowth	HP:0001548
Weight loss	HP:0001824
Centripetal obesity	HP:0001956
Truncal obesity	HP:0001956
Situs inversus visceralis	HP:0003363
Abdominal situs inversus	HP:0003363
Situs inversus viscerum	HP:0003363
Short stature, severe disproportionate	HP:0003498
Short stature, disproportionate	HP:0003498
Disproportionate short stature	HP:0003498
Mild short stature	HP:0003502
short stature, mild	HP:0003502
Relative short stature	HP:0003502
Proportionate short stature	HP:0003508
Short stature, proportionate	HP:0003508
Proportionate small stature	HP:0003508
Dwarfism	HP:0003510
Short stature, severe	HP:0003510
Proportionate dwarfism	HP:0003510
Severe short stature	HP:0003510
Short stature, extreme	HP:0003510
Birth length greater than 97th percentile	HP:0003517
Disproportionate short-trunked dwarfism	HP:0003521
Short-trunked dwarfism	HP:0003521
Disproportionate short-trunked short stature	HP:0003521
Disproportionate short-trunk short stature	HP:0003521
Birth length < 3rd percentile	HP:0003561
Birth length less than 3rd percentile	HP:0003561
Birth length <3rd percentile	HP:0003561
Eunuchoid habitus	HP:0003782
Decreased body height	HP:0004322
Stature below 3rd percentile	HP:0004322
Short stature	HP:0004322
Height less than 3rd percentile	HP:0004322
Small stature	HP:0004322
Abnormality of habitus	HP:0004323
Abnormality of body weight	HP:0004323
Increased body weight	HP:0004324
Weight gain	HP:0004324
Low weight	HP:0004325
Decreased weight	HP:0004325
Low body weight	HP:0004325
Decreased body weight	HP:0004325
Weight less than 3rd percentile	HP:0004325
Cachexia	HP:0004326
Wasting syndrome	HP:0004326
Rhizomelic arm shortening	HP:0004991
Mesomelic/rhizomelic limb shortening	HP:0005026
Rhizo-meso-acromelic limb shortening	HP:0005069
Short stature, mesomelic	HP:0008845
Mesomelic short stature	HP:0008845
Mesomelic dwarfism	HP:0008845
Dwarfism, short limb mesomelic	HP:0008845
Short stature, disproportionate mesomelic	HP:0008845
Intrauterine growth retardation, severe	HP:0008846
Severe intrauterine growth retardation	HP:0008846
Severe prenatal growth deficiency	HP:0008846
Short stature, moderate	HP:0008848
Moderate short stature	HP:0008848
Moderately short stature	HP:0008848
Severe growth delay in children	HP:0008850
Severe postnatal growth deficiency	HP:0008850
Severe postnatal growth retardation	HP:0008850
Severe postnatal growth failure	HP:0008850
Marked growth retardation	HP:0008850
Moderate growth delay in children	HP:0008855
Moderate postnatal growth retardation	HP:0008855
Neonatal short-trunk short stature	HP:0008857
Short-trunk dwarfism identifiable at birth	HP:0008857
Faltering weight secondary to recurrent infections	HP:0008866
Weight faltering secondary to recurrent infections	HP:0008866
Failure to thrive secondary to recurrent infections	HP:0008866
Short stature, disproportionate short limb	HP:0008873
Short-limb dwarfism	HP:0008873
Dwarfism, short-limbed	HP:0008873
Short-limbed dwarfism	HP:0008873
Disproportionate short limb dwarfism	HP:0008873
Disproportionate short-limb short stature	HP:0008873
Short limb dwarfism	HP:0008873
Micromelic dwarfism	HP:0008873
Brachymelic dwarfism	HP:0008873
Short stature, disproportionate short-limb	HP:0008873
Short limb dwarfism, disproportionate	HP:0008873
Mild intrauterine growth retardation	HP:0008883
Mild prenatal growth deficiency	HP:0008883
Severe short-limb dwarfism	HP:0008890
Postnatal growth failure	HP:0008897
Postnatal growth retardation	HP:0008897
Postnatal growth deceleration	HP:0008897
Growth delay as children	HP:0008897
Postnatal growth deficiency	HP:0008897
Growth retardation as children	HP:0008897
Rhizomelia	HP:0008905
Rhizomelic short stature	HP:0008905
Rhizomelic dwarfism	HP:0008905
Rhizomelic limb shortening	HP:0008905
Short stature, rhizomelic	HP:0008905
Disproportionately short upper portion of limb	HP:0008905
Symmetrical rhizomelic limb shortening	HP:0008905
Rhizomelic short limbs	HP:0008905
Rhizomelic shortening	HP:0008905
Lethal micromelic dwarfism	HP:0008909
Lethal short-limbed dwarfism	HP:0008909
Lethal short-limbed short stature	HP:0008909
Childhood-onset truncal obesity	HP:0008915
Truncal obesity apparent in childhood	HP:0008915
Neonatal short-limbed dwarfism	HP:0008921
Short limb dwarfism recognizable at birth	HP:0008921
Short-limb dwarfism identifiable neonatally	HP:0008921
Dwarfism, neonatal short-limbed	HP:0008921
Neonatal short-limb short stature	HP:0008921
Short-limbed dwarfism identifiable at birth	HP:0008921
Short-limb dwarfism identifiable at birth	HP:0008921
Disproportionate short-trunk short stature, identifiable in childhood	HP:0008922
Childhood-onset short-trunk short stature	HP:0008922
Short-trunk dwarfism identifiable during childhood	HP:0008922
Asymmetric short stature	HP:0008929
Lethal short-trunk dwarfism	HP:0011404
Lethal short-trunk short stature	HP:0011404
Childhood onset short-limb short stature	HP:0011405
Short-limb dwarfism identifiable during childhood	HP:0011405
Short-trunk dwarfism, identifiable in infancy	HP:0011406
Infancy onset short-trunk short stature	HP:0011406
Proportionate tall stature	HP:0011407
Moderate intrauterine growth retardation	HP:0011408
Right atrial isomerism	HP:0011536
Left atrial isomerism	HP:0011537
Abnormality of abdominal situs	HP:0011620
Rhizomelic leg shortening	HP:0012106
Delayed start of first period	HP:0012569
Delayed menarche	HP:0012569
Abdominal obesity	HP:0012743
Central obesity	HP:0012743
Abnormal upper to lower segment ratio	HP:0012772
Reduced upper to lower segment ratio	HP:0012773
Increased upper to lower segment ratio	HP:0012774
Delayed adrenarche	HP:0025453
Obesity grade 1	HP:0025499
Class I obesity	HP:0025499
Class II obesity	HP:0025500
Obesity grade 2	HP:0025500
Obesity grade 3	HP:0025501
Class III obesity	HP:0025501
Overweight	HP:0025502
Delayed thelarche	HP:0025515
Increased body fat percentage	HP:0025521
Heterotaxia	HP:0030853
Heterotaxy	HP:0030853
Absent adolescent growth spurt	HP:0031087
Absent pubertal growth spurt	HP:0031087
Increased BMI	HP:0031418
Increased body mass index	HP:0031418
Bronchial isomerism	HP:0031564
Abdominal situs ambiguus	HP:0031565
Abnormal waist to hip ratio	HP:0031818
Increased waist-hip ratio	HP:0031819
Increased waist-to-hip ratio	HP:0031819
Increased waist to hip ratio	HP:0031819
Increased WHR	HP:0031819
Decreased waist-hip ratio	HP:0031820
Decreased waist-to-hip ratio	HP:0031820
Decreased WHR	HP:0031820
Decreased waist to hip ratio	HP:0031820
Isomerism	HP:0031853
Left-sided isomerism	HP:0031854
Left Isomerism	HP:0031854
Right isomerism	HP:0031855
Right-sided isomerism	HP:0031855
Abnormal body mass index	HP:0045081
Abnormality of body mass index	HP:0045081
Abnormal BMI	HP:0045081
Decreased body mass index	HP:0045082
Decreased BMI	HP:0045082
Hemihypertrophy of lower limb	HP:0100553
Overgrowth of one leg	HP:0100553
Hemihypertrophy of upper limb	HP:0100554
Overgrowth of one arm	HP:0100554
Asymmetric growth	HP:0100555
Uneven or disproportionate growth of one body part compared to another	HP:0100555
Hemiatrophy	HP:0100556
Asymmetric limb shortening	HP:0100556
Hemiatrophy of the body	HP:0100556
Hemiatrophy of lower limb	HP:0100557
Asymmetric lower limb shortening	HP:0100557
Asymmetric upper limb shortening	HP:0100558
Hemihypotrophy of upper limb	HP:0100558
Hemiatrophy of upper limb	HP:0100558
Lower limb asymmetry	HP:0100559
Leg length discrepancy	HP:0100559
Left and right leg differ in length or width	HP:0100559
Unequal size of arms	HP:0100560
Upper limb asymmetry	HP:0100560
Hemihypotrophy of lower limb	HP:0200053
Asymmetric leg shortening	HP:0200053
Asymmetric lower limb shortness	HP:0200053
Unaided visual acuity 2.0 LogMAR	None
Static ophthalmoparesis	None
Detached retina	None
Retinal detachment	None
Foveal subretinal hyporeflective spaces on macular OCT	None
Eye movement-induced pain	None
Choriocapillaris atrophy	None
Foveal atrophy	None
Abnormal morphology of the posterior segment of the globe	None
Abnormality of the posterior segment of the eye	None
Abnormality of the posterior segment of the globe	None
Abnormal posterior eye segment morphology	None
Abnormality of the posterior segment of the eyeball	None
Perifoveal ring of hyperautofluorescence surrounded by normal autofluorescence	None
Abnormal light-adapted single flash electroretinogram	None
Alternating hypotropia	None
Enlarged eyeball	None
Buphthalmos	None
Superior oblique muscle underaction	None
Under-depression in adduction	None
Best corrected visual acuity 0.2 LogMAR	None
Exophoria	None
Glaucoma	None
Temporal gray pigmentary crescent	None
Optic nerve gray crescent	None
Nonprogressive restrictive external ophthalmoplegia	None
Corneal degeneration	None
Corneal stromal edema	None
Pink eye	None
Conjunctivitis, recurrent	None
Conjunctivitis	None
Zonular cataract	None
Abnormality of corneal stroma	None
Pinhole visual acuity 1.1 LogMAR	None
Polar cataract, posterior	None
Posterior polar cataract	None
Crossed asymmetry of pattern reversal visual evoked potentials	None
Asymmetrical distribution of pattern reversal visual evoked potentials	None
Abnormal P50/N95 ratio of pattern electroretinogram	None
Abnormality of the retina	None
Abnormal retina	None
Retinal disease	None
Anomaly of the retina	None
Abnormal retinal morphology	None
Retina issue	None
Progressive night blindness	None
Nuclear punctate cataract	None
Iridocyclitis	None
Microphthalmia, bilateral	None
Abnormally small eyeball on both sides	None
Decreased size of globes of eyes	None
Bilateral microphthalmos	None
Bilateral nanophthalmos	None
Decreased size of eyeballs	None
Abnormal dark-adapted electroretinogram	None
Anterior chamber cells grade 4+	None
Anterior chamber cells grade 0.5+	None
Cortical cataract	None
Abnormal amplitude of dark-adapted bright flash electroretinogram	None
Corneal crystals	None
Corneal deposits	None
Anterior chamber cells grade 0	None
Day blindness	None
Hemeralopia	None
Retinal crystals	None
Cyclopia	None
Cyclops eye	None
Single central eye	None
Pendular nystagmus	None
Nystagmus, continuous pendular	None
Nystagmus, pendular	None
Central retinal artery occlusion	None
Punctate keratitis	None
Divergent strabismus	None
Exodeviation	None
Adult-onset night blindness	None
Abnormal timing of pattern onset/offset visual evoked potentials	None
Recurrent corneal ulceration	None
Epithelial corneal erosions	None
Recurrent breakdown of clear protective layer of eye	None
Corneal ulcerations	None
Corneal erosions, recurrent	None
Recurrent corneal ulcerations	None
Recurrent corneal erosions	None
Retinal astrocytic hamartoma	None
Elevated cup to disc ratio	None
Increased cup-to-disc ratio	None
Increased cup disc ratio	None
Abnormal Vistech contrast sensitivity test	None
Eye disease	None
Abnormal eye	None
Abnormality of the eye	None
Uveal melanoma	None
Intraocular melanoma	None
Restrictive partial external ophthalmoplegia	None
Retinal pigment epithelial loss on macular OCT	None
Retinoschisis	None
Abnormal Ishihara plate test	None
Foveal depigmentation	None
Exudative retinopathy	None
Ptosis, bilateral congenital	None
Congenital bilateral ptosis	None
Congenital drooping of both upper eyelids	None
Ptosis, congenital bilateral	None
Abnormality of the retinal vasculature	None
Abnormality of retina blood vessels	None
Abnormal retinal vascular morphology	None
High hyperopia	None
High hypermetropia	None
High-grade hypermetropia	None
Severe long-sightedness	None
Severe farsightedness	None
Oval pupil	None
Punctate corneal opacities	None
Punctate opacification of the cornea	None
Progressive visual field defects	None
Anterior chamber flare	None
Macular hypopigmentation	None
Dropping of one upper eyelid	None
Unilateral ptosis	None
Scleral schwannoma	None
Marginal corneal dystrophy	None
Best corrected visual acuity 1.3 LogMAR	None
Phacodonesis	None
Trembling eye lens	None
Phakodonesis	None
Anterior blepharitis	None
Subfoveal choroidal neovascularization	None
Shallow anterior chamber	None
Decreased tear drainage	None
Bilateral congenital mydriasis	None
Hyperphoria	None
Unaided visual acuity 0.4 LogMAR	None
Abnormality of the corneal limbus	None
Downbeat nystagmus	None
Keratitis sicca	None
Dry eyes	None
Xerophthalmia	None
Keratoconjunctivitis sicca	None
Dry eye syndrome	None
Best corrected visual acuity 0.6 LogMAR	None
Optic atrophy from cranial nerve compression	None
Progressive drooping of upper eyelid	None
Progressive ptosis	None
Absence of visual evoked potentials	None
Non-detectable VEP	None
Undetectable visual evoked potentials	None
Undetectable VEP	None
Multiple bilateral congenital hypertrophy of retinal pigment epithelium	None
Multiple bilateral CHRPE	None
Superior rectus muscle overaction	None
Keyhole iris	None
Cat eye	None
Iris coloboma	None
Coloboma of the iris	None
Coloboma of iris	None
cataracta pulverulenta centralis	None
Nuclear pulverulent cataract	None
Coppock-like cataract	None
Pulverulent nuclear cataract	None
Central pulverulent cataract	None
Abnormal foveal morphology on macular OCT	None
Supranuclear gaze palsy	None
Supranuclear gaze paralysis	None
Anterior chamber cells grade 2+	None
Abnormality of corneal epithelium	None
Abnormal corneal epithelium morphology	None
Corneal dystrophy	None
Nystagmus, horizontal	None
Horizontal nystagmus	None
Compensatory chin elevation	None
Compensatory head tilt/chin elevation	None
Polar cataract	None
Hypertensive retinopathy	None
Compensatory head tilt to the left shoulder	None
Difficulty seeing moving objects	None
Bradyopsia	None
Aplasia/Hypoplasia affecting the fundus	None
Absent/small fundus	None
Inferior oblique muscle underaction	None
Hypometric upward saccades	None
Abnormality of tear production	None
Lacrimation abnormality	None
Retinopathy of prematurity stage 5a	None
ROP stage 5a	None
Best corrected visual acuity 1.1 LogMAR	None
Descemet Membrane Folds	None
Abnormal superior oblique muscle physiology	None
Pseudophakia	None
Congenital nystagmus	None
Nystagmus, congenital	None
Abnormal unaided visual acuity test	None
Dyschromatopsia	None
Color blindness	None
Vitreous amyloid deposits	None
Amyloid deposition in the vitreous humor	None
Anterior subcapsular cataract	None
Anomalous trichromacy	None
Vertical incomitant strabismus	None
Paralytic strabismus	None
Neurogenic strabismus	None
Abnormal timing of pattern reversal visual evoked potentials	None
Temporal optic disc pallor	None
Speckled iris	None
Iris brushfield spots	None
Brushfield spots	None
Sub-ILM hemorrhage	None
Sub-inner limiting membrane hemorrhage	None
Sub-inner limiting membrane haemorrhage	None
Sub-ILM haemorrhage	None
Superficial episcleral hyperemia	None
Superficial episcleral hypaeremia	None
Anterior chamber cyst	None
Brown anomaly	None
Brown syndrome	None
Dendritic corneal epithelial ulcer	None
Herpetiform corneal ulcers	None
Herpetiform corneal ulceration	None
Retinopathy of prematurity	None
Juvenile epithelial corneal dystrophy	None
Retinitis pigmentosa inversa	None
Central retinitis pigmentosa	None
Reduced corneal reflex	None
Decreased corneal reflex	None
Decreased blink reflex	None
Hyperdeviation	None
Uncontrolled eye movements	None
Eye drop	None
Blepharoptosis	None
Drooping upper eyelid	None
Eyelid ptosis	None
Ptosis	None
Vestibular nystagmus	None
Pinhole visual acuity 0.3 LogMAR	None
Corneal astigmatism	None
Esotropia	None
Inward turning cross eyed	None
Consecutive exotropia	None
Conjunctival hyperaemia	None
Conjunctival hyperemia	None
Conjunctival vascular congestion	None
Conjunctival injection	None
Abnormal amplitude of pattern electroretinogram	None
Nodular corneal dystrophy	None
Nystagmus	None
Involuntary, rapid, rhythmic eye movements	None
Optic nerve aplasia	None
Absent optic nerve	None
Aplastic optic nerve	None
Abnormal horizontal rectus muscle physiology	None
Wasting of the outer part of the retina	None
Peripheral retinal atrophy	None
Absent retinal pigment epithelium	None
Optic disk coloboma	None
Optic nerve coloboma	None
Coloboma of optic nerve	None
Abnormality of ocular abduction	None
Mild hypermetropia	None
Mild hyperopia	None
Superficial corneal opacities	None
Opacification of the corneal epithelium	None
Dilated pupil	None
Mydriasis	None
Disciform macular scar	None
Abnormal central response of multifocal electroretinogram	None
ROP zone III	None
Retinopathy of prematurity zone III	None
Retinal hemorrhage	None
Retinal hemorrhages	None
Retinal bleeding	None
Retrobulbar optic neuritis	None
Retrobulbar neuritis	None
Patchy atrophy of the retinal pigment epithelium	None
Abnormal static automated perimetry test	None
Asymmetry of iris pigmentation	None
Increased OCT-measured foveal thickness	None
Spasmus nutans	None
Abnormal eye physiology	None
Upgaze palsy	None
Upgaze paresis	None
Supranuclear upgaze palsy	None
Unaided visual acuity 0.7 LogMAR	None
Infantile constant exotropia	None
Infantile (constant) exotropia	None
Subretinal heme	None
Subretinal hemorrhage	None
Subretinal haemorrhage	None
Anterior cortical cataract	None
Mild constriction of peripheral visual field	None
Mild peripheral visual field loss	None
Falciform retinal fold	None
Congenital retinal fold	None
Abnormally prominent line of Schwalbe	None
Prominent Schwalbe lines	None
Chorioretinal dysplasia	None
Restrictive external ophthalmoplegia	None
Restrictive ophthalmoplegia	None
Restrictive external ophthalmoplegia, bilateral	None
Narrow retinal arterioles	None
Retinal arteriolar narrowing	None
Retinal arteriolar constriction	None
Constricted retinal arterioles	None
Horizontal jerk nystagmus	None
Optic disk pallor	None
Pale optic discs	None
Optic disc pallor	None
Pale optic disc	None
Disc pallor	None
Pale optic disk	None
Absence of eyeballs	None
Failure of development of eyeball	None
Missing eyeball	None
No eyeball	None
Clinical anophthalmia, unilateral/bilateral	None
Absence of globes of eyes	None
Ocular absence	None
Anophthalmia	None
Anophthalmia, clinical	None
No globe of eye	None
Missing globe of eye	None
Thick sclera	None
Scleral thickening	None
Horizontal incomitant strabismus	None
Abnormal retinal pigmentation	None
Retinal pigmentary anomaly	None
Abnormality of retinal pigmentation	None
Abnormality of retinal pigment epithelium	None
Abnormality of the retinal pigment epithelium	None
Abnormality of RPE	None
Presenile cataract	None
Presenile cataracts	None
Punctate lenticular opacities	None
Punctate cataract	None
Abnormality of the vasculature of the conjunctiva	None
Abnormal morphology of the conjunctiva vasculature	None
Abnormal vasculature of the conjunctiva morphology	None
Abnormal morphology of the conjunctival vasculature	None
Macular atrophy	None
Abnormality of the fundus	None
Abnormal fundus morphology	None
Pulverulent cataract	None
Mild reduction in visual acuity	None
Mildly reduced visual acuity	None
Mild vision loss	None
Mild visual loss	None
Retinal dots	None
Vision issue	None
Abnormality of vision	None
Abnormality of sight	None
Compensatory face turn to the right	None
Abnormality of pattern onset/offset VEP	None
Abnormality of pattern onset/offset visual evoked potentials	None
Albinism, Ocular	None
Absent pigmentation in the eye	None
Ocular albinism	None
Abnormal posterior segment imaging	None
Blindness present at birth	None
Congenital blindness	None
Congenital amaurosis	None
Developmental glaucoma	None
Pediatric glaucoma	None
Childhood glaucoma	None
Infantile glaucoma	None
Medial rectus muscle overaction	None
Dichromacy	None
Increased OCT-measured macular thickness	None
Abnormal corneal endothelium morphology	None
Abnormality of corneal endothelium	None
Inferior subluxated lens	None
Inferior lens subluxation	None
Degenerative liver disease	None
Enlarged vein in esophagus	None
Esophageal varix	None
Esophageal varices	None
Meconium ileus	None
Meconium ileus on ultrasonography	None
Meconium ileus in neonates	None
Distal intestinal obstruction syndrome	None
Abdominal aseptic abscess	None
Abnormal pancreatic duct morphology	None
Villous atrophy	None
Small intestine biopsy shows villous atrophy	None
Duodenal villous atrophy	None
Villous degeneration	None
Variable degree of villous atrophy	None
Atrophy of small intestinal villi	None
Biopsy shows villous atrophy	None
Hypoplasia of the colon	None
Hypoplastic colon	None
Underdeveloped colon	None
Interface hepatitis	None
Fibrotic muscularis propria	None
Cyst of the ductus choledochus	None
Choledochal cyst	None
Episodic abdominal pain	None
Intermittent abdominal pain	None
Small intestinal polyposis	None
Absent pancreas	None
Pancreatic aplasia	None
Impaired oral bolus formation	None
Mixed cirrhosis	None
Vestibular fistula	None
Rectovestibular fistula	None
Colonic atresia	None
Atresia of the large intestine	None
Large intestinal atresia	None
Abdominal colic	None
Rectal tumor	None
Neoplasm of the rectum	None
Stercoraceous vomiting	None
Fecal vomiting	None
Feculent vomiting	None
Decreased mitochondrial complex III activity in liver tissue	None
Interlobular bile duct destruction	None
Clostridium difficile colitis	None
Hamartomatous stomach polyps	None
Jejunal diverticula	None
Absent gallbladder	None
Aplasia of the gallbladder	None
Agenesis of the gallbladder	None
Colon diverticula	None
Colonic diverticula	None
Colonic diverticulosis	None
Peritoneal effusion	None
Rectal perforation	None
Jejunoileal ulceration	None
Ampulla of Vater carcinoma	None
Piles	None
Hemorrhoids	None
Haemorrhoids	None
Chylolymphatic mesenteric cyst	None
Distal ileal atresia	None
Adenocarcinoma of the large intestine	None
Cholecystitis	None
Gallbladder inflammation	None
Acute liver failure	None
Acute hepatic failure	None
Gastric duplication	None
Gastric duplication cyst	None
Pigment gallstones	None
Absent/underdeveloped abdominal wall muscles	None
Aplasia/Hypoplasia of the abdominal wall musculature	None
Absent/small abdominal wall muscles	None
Malformation of the hepatic ductal plate	None
Abnormal small intestinal mucosa morphology	None
Large intestinal polyposis	None
Malposition of the stomach	None
Gastric malposition	None
Abnormal stomach location	None
Gastric ectopia	None
Gallbladder dyskinesia	None
Intestinal bleeding	None
Intestinal hemorrhage	None
Hepatic arteriovenous malformation	None
Liver arteriovenous malformation	None
Abnormality of the pancreatic islet cells	None
Chronic constipation	None
Infrequent bowel movements	None
Anorexia	None
Femoral hernia	None
Crural hernia	None
Scaphoid abdomen	None
Esophageal duplication	None
Short bowel	None
Congenital shortened small intestine	None
Focal pancreatic islet hyperplasia	None
Abdominal discomfort	None
Stomach pain	None
Gastrointestinal pain	None
Pain in stomach	None
Abdominal pain	None
Upset stomach	None
Gastro pain	None
Intrahepatic bile duct cysts	None
Anal margin melanoma	None
Colonic inertia	None
Biliary epithelial hyperplasia	None
Eosinophilic micro-abscess formation in the esophagus	None
Eosinophilic microabscess formation in the esophagus	None
Eosinophilic microabscess formation in the oesophagus	None
Painful swallowing	None
Odynophagia	None
Pleomorphic cholangitis	None
Abnormality of the ileum	None
Abnormal ileum morphology	None
Abnormal large intestine physiology	None
PEG-fed in infancy	None
Gastrostomy tube feeding in infancy	None
Feeding difficulties	None
Feeding problems	None
Poor feeding	None
Periportal fibrosis	None
Multilocular splenic abscess	None
Multifocal splenic abscess	None
Abnormality of intestinal smooth muscle morphology	None
Primary peritoneal carcinoma	None
Anal margin squamous cell carcinoma	None
Acute esophageal necrosis	None
Esophageal neoplasm	None
Esophageal tumor	None
Inflammatory cap polyp	None
Ileitis	None
Inflammation of the ileum	None
Duodenal cancer	None
Duodenal adenocarcinoma	None
Tenesmus	None
Coffee grounds emesis	None
Coffee ground vomitus	None
Coffee grounds vomiting	None
Pelvic organ prolapse	None
Eosinophilic cholecystitis	None
Eosinophilic gallbladder infiltration	None
Pancreatic inflammation	None
Pancreatitis	None
Bile duct paucity	None
Intrahepatic atresia of biliary duct	None
Intrahepatic biliary atresia	None
Brown pigment gallstones	None
Chronic liver failure	None
Chronic hepatic failure	None
Gastroparesis	None
Delayed gastric emptying	None
Neonatal intestinal obstruction	None
Rectoperineal fistula	None
Intermittent yellow skin	None
Intermittent yellowing of skin	None
Intermittent icterus	None
Intermittent jaundice	None
Aspartate aminotransferase increased	None
Elevated serum glutamic oxaloacetic transaminase	None
Elevated serum aspartate aminotransferase	None
Elevated serum AST	None
Underdeveloped spleen	None
Hypoplastic spleen	None
Abnormal anus position	None
Ectopic anus	None
Anus malposition	None
Hemangioma of the liver	None
Liver hemangioma	None
Hepatic hemangioma	None
Liver abnormality	None
Abnormal liver	None
Liver disease	None
Abnormality of the liver	None
Degenerative enteric neuropathy	None
Enteric neuronal degeneration	None
Bile duct proliferation	None
Proliferation of bile canaliculi	None
Abnormality of the ductus choledochus	None
Abnormality of the common bile duct	None
Ectopia vesicae	None
Bladder exstrophy	None
Liver dysfunction	None
Decreased liver function	None
Liver dysfunction, mild	None
Biliary tract neoplasm	None
Neoplasia of the biliary tract	None
Congenital pyloric atresia	None
Rectal arteriovenous malformation	None
Anal fissure	None
Anal erosion	None
Granulomatous cholangitis	None
Beta-cell dysfunction	None
Portal fibrosis shown on biopsy	None
Portal fibrosis	None
Hypersplenism	None
Peritoneal abscess	None
Aganglionosis of the small intestine	None
Multiple adenomatous colon polyps	None
Adenomatous colonic polyposis	None
Multiple colonic adenomatous polyps	None
Anal margin Paget's disease	None
Adenocarcinoma of the colon	None
Cholelithiasis	None
Gallstones	None
Prolonged neonatal jaundice	None
Jaundice, neonatal	None
Prolonged yellowing of skin in newborn	None
Neonatal jaundice	None
Megaduodenum	None
Chronic atrophic gastritis	None
Pancreatic islet cell adenoma	None
Multiple gastric polyps	None
Projectile vomiting	None
Abnormality of esophagus physiology	None
Functional abnormality of the esophagus	None
Intrahepatic cholestasis with episodic jaundice	None
Chronic gastritis	None
Pelvic mass	None
Bowel diverticula	None
Bowel diverticulosis	None
Mechanical ileus	None
Serrated polyposis	None
Serrated intestinal polyps	None
Liver steatosis	None
Fatty infiltration of liver	None
Fatty liver	None
Hepatic steatosis	None
Steatosis	None
Pancreatic fistula	None
Zollinger-Ellison syndrome	None
Rectal prolapsed	None
Rectum protrudes through anus	None
Rectal prolapse	None
Pancreatoblastoma	None
Colorectal polyps	None
Colorectal polyposis	None
Pancreatic pseudocyst	None
Oesophagus ulceration	None
Esophagus ulcer	None
Esophageal ulceration	None
Poor suck	None
Poor sucking	None
Anomaly of the esophagus	None
Abnormal esophagus morphology	None
Abnormality of esophagus morphology	None
Protuberant abdomen	None
Belly sticks out	None
Abdominal protuberance	None
Extended belly	None
Anteriorly placed anus	None
Anteriorly displaced anus	None
Anus anteposition	None
Splenic abscess	None
Intestinal atresia	None
Short-segment aganglionic megacolon	None
Microcolon	None
Microcolon on contrast enema	None
Microvesicular hepatic steatosis	None
Microvesicular steatosis	None
Lymphoid cholangitis	None
Decreased carnitine level in liver	None
Absent abdominal musculature	None
Aplasia of the abdominal wall musculature	None
Agenesis of the small intestine	None
Small bowel agenesis	None
Undeveloped small intestine	None
Peptic ulcer	None
Sore in the lining of gastrointestinal tract	None
Abnormality of pancreas morphology	None
Abnormally shaped pancreas	None
Abnormal pancreas morphology	None
Reduced pancreatic beta cells	None
Gut duplication	None
Bowel duplication	None
Intestinal duplication	None
Aplasia of the colon	None
Absence of the colon	None
Aplastic colon	None
GI atresia	None
Gastrointestinal atresia	None
