Pneumomediastinum	HP:0025421
Retinopathy	None
Anisometropia	None
Choroidal nevus	None
Decreased distance between eyes	None
Closely spaced eyes	None
Ocular hypotelorism	None
Hypotelorism	None
Decreased interpupillary distance	None
Decreased orbital separation	None
Decreased distance between eye sockets	None
Abnormally close eyes	None
Best corrected visual acuity 0.8 LogMAR	None
Sub-retinal fluid	None
Subretinal fluid	None
Retinal cotton wool spot	None
Deep anterior chamber	None
Anterior cortical cataract	None
Reduced OCT-measured macular thickness	None
Decreased depth of eye sockets	None
Decreased depth of orbits	None
Shallow eye sockets	None
Shallow orbits	None
Small shallow orbits	None
Primary angle closure glaucoma	None
Angle closure glaucoma	None
Abnormal electroretinography	None
Abnormal ERG	None
Abnormal electroretinogram	None
ERG abnormal	None
Corectopia	None
Displaced pupil	None
Ectopia pupillae	None
Corneal ulcer	None
Corneal ulceration	None
Against the rule astigmatism	None
Steep corneal curvature	None
Increased corneal curvature	None
Subcapsular cataract	None
Subcapsular opacities	None
Subcapsular cataracts	None
Subcapsular lenticular cataracts	None
Unilateral nanophthalmos	None
Unilateral microphthalmos	None
Abnormally small eyeball on one side	None
Spasmus nutans	None
Optic nerve compression	None
Abnormal superior rectus muscle physiology	None
Pericentral retinitis pigmentosa	None
Horner syndrome	None
Oculosympathetic palsy	None
Horner's syndrome	None
Marginal corneal dystrophy	None
Vitelliform-like retinal lesions	None
Increased vertical cup-to-disc ratio - 0.6	None
Abnormal best corrected visual acuity test	None
Convergent strabismus	None
Esodeviation	None
Retinal neovascularization	None
Retinal neovascularisation	None
Restrictive partial external ophthalmoplegia	None
Hypermetric saccades	None
Papilledema	None
Day blindness	None
Hemeralopia	None
Visual acuity test abnormality	None
Esotropia	None
Inward turning cross eyed	None
Rotatory Nystagmus	None
Rotary nystagmus	None
Subepithelial corneal opacities	None
Anal margin neoplasm	None
Esophageal pouch	None
Esophageal diverticulum	None
Abdominal distention	None
Abdominal swelling	None
Abdominal distension	None
Bloating	None
Abdominal bloating	None
Distended abdomen	None
Belly bloating	None
Gallbladder dyskinesia	None
Increased iron concentration in liver	None
Elevated hepatic iron concentration	None
Increased liver iron level	None
Abdominal aseptic abscess	None
Reye syndrome-like episodes	None
Stomach tumor	None
Neoplasia of the stomach	None
Neoplasm of the stomach	None
Increased gastric cancer	None
Abnormality of the intrahepatic bile duct	None
Meconium peritonitis	None
Granulomatous cholangitis	None
Hypersplenism	None
Frequent vomiting	None
Episodic vomiting	None
Cholesterol gallstones	None
Pancreatic adenocarcinoma	None
Increased hepatocellular lipid droplets	None
Digestive system disease	None
Gastrointestinal disease	None
Abnormality of the gastrointestinal tract	None
Abnormality of the GI tract	None
Gastrointestinal bleeding	None
Gastrointestinal hemorrhage	None
GI hemorrhage	None
Fibrotic muscularis propria	None
Intestinal pseudo-obstruction	None
Intestinal pseudoobstruction	None
Jejunal atresia	None
Prominent belly button	None
Prominent navel	None
Prominent umbilicus	None
Abnormality of enteric neuron morphology	None
GI angiodysplasia	None
Gastrointestinal angiodysplasia	None
Portal fibrosis shown on biopsy	None
Portal fibrosis	None
Pancreatic islet cell adenoma	None
Recurrent infection of the gastrointestinal tract	None
Gastrointestinal infections	None
Gastrointestinal infections, recurrent	None
Recurrent gastrointestinal infections	None
Recurrent infection of the GI tract	None
Intestinal fistula	None
Neoplasm of the colon	None
Colon tumor	None
Elevated serum transaminases during infections	None
Intrahepatic cholestasis with episodic jaundice	None
Primary biliary cirrhosis	None
Biliary cirrhosis	None
Congenital absence of portal vein	None
Missing portal vein	None
CAPV	None
Esophageal exudate	None
Anomalous hepatic venous drainage into the left atrium	None
Abnormality of pancreas morphology	None
Abnormally shaped pancreas	None
Abnormal pancreas morphology	None
Painful swallowing	None
Odynophagia	None
Micronodular cirrhosis	None
Multiple small bowel atresias	None
Melena	None
Black feces	None
Brown pigment gallstones	None
Abnormal portal venous system morphology	None
Ectopic liver	None
Biliary dyskinesia	None
Increased stool alpha1-antitrypsin concentration	None
High intestinal obstruction	None
Cholestatic liver disease	None
Giant cell hepatitis shown on biopsy	None
Giant cell hepatitis on biopsy	None
Giant cell hepatitis on liver biopsy	None
Giant cell hepatitis	None
Prune belly	None
Absent pancreas	None
Pancreatic aplasia	None
Chronic atrophic gastritis	None
Chronic colitis	None
Liver dysfunction	None
Decreased liver function	None
Liver dysfunction, mild	None
Fibrous cholangitis	None
Sclerosing cholangitis	None
Pseudobulbar palsy	None
Pseudobulbar syndrome	None
Pseudobulbar paralysis	None
Periportal fibrosis	None
Unilocular splenic abscess	None
Unifocal splenic abscess	None
Solitary splenic abscess	None
Esophageal spasms	None
Abnormality of the liver vasculature	None
Abnormality of liver blood vessels	None
Abnormality of the hepatic vasculature	None
Fluctuating splenomegaly	None
Oral-pharyngeal dysphagia	None
Oral pharyngeal dysphagia	None
Difficulty swallowing	None
Oropharyngeal dysphagia	None
Aplasia of the colon	None
Absence of the colon	None
Aplastic colon	None
Pigment gallstones	None
Abnormality of the gallbladder	None
Anomaly of the gallbladder	None
Hepatic arteriovenous malformation	None
Liver arteriovenous malformation	None
Fluctuating hepatomegaly	None
Abnormal pancreatic duct morphology	None
Cloacal abnormality	None
Intrahepatic duct deficiency	None
Reduced number of intrahepatic bile ducts	None
Hepatic ductopenia	None
Hepatic agenesis	None
Liver agenesis	None
Failed liver development	None
Fulminant hepatic failure	None
Jejunoileal diverticula	None
Increased intestinal transit time	None
Annular pancreas	None
Splenic abscess	None
Enterocolitis	None
Piles	None
Hemorrhoids	None
Haemorrhoids	None
Neoplasm of the gallbladder	None
Neoplasia of the gallbladder	None
Nausea	None
Frequent Giardia lamblia infestation	None
Eosinophilic infiltration in the colon	None
Colonic eosinophilia	None
Increased incidence of hepatocellular carcinoma	None
Increased hepatocellular carcinoma risk	None
Hepatocellular carcinoma	None
Bowel diverticula	None
Bowel diverticulosis	None
Distal ileal atresia	None
Cystocele	None
Bladder hernia	None
Bladder prolapse	None
Prolapsed bladder	None
Dropped bladder	None
Islet of Langerhans hyperplasia	None
Islets of langerhans hypertrophy	None
Pancreatic islet-cell hypertrophy	None
Hypertrophic pancreatic islets	None
Hyperplastic islets of langerhans	None
Pancreatic islet-cell hyperplasia	None
Jejunal arteriovenous malformation	None
Abnormality of enteric nervous system morphology	None
Abdominal guarding	None
Splenopancreatic fusion	None
Episodic abdominal pain	None
Intermittent abdominal pain	None
Ampulla of Vater carcinoma	None
Hypoplasia of the colon	None
Hypoplastic colon	None
Underdeveloped colon	None
Retroperitoneal fibrosis	None
Neuromuscular dysphagia	None
Biliary hyperplasia	None
Bile duct hyperplasia	None
Hyperplastic colonic polyposis	None
Discrete intestinal polyps	None
Small intestinal perforation	None
Heartburn	None
Acid reflux disease	None
Acid reflux	None
GERD	None
Gastroesophageal reflux	None
Gastroesophageal reflux disease	None
Abdominal muscular hypoplasia	None
Hypoplasia of the abdominal wall musculature	None
Congenital pyloric atresia	None
Gastric arteriovenous malformation	None
Mixed cirrhosis	None
Microgastria	None
Rectal bleeding	None
Recurrent rectal bleeding	None
Hematochezia	None
PEG-fed in infancy	None
Gastrostomy tube feeding in infancy	None
Anomalous splenoportal venous system	None
Oesophagus ulceration	None
Esophagus ulcer	None
Esophageal ulceration	None
Hepatitis, chronic active	None
Chronic active hepatitis	None
Throwing up	None
Emesis	None
Vomiting	None
Fetal ascites	None
Increased hepatic glycogen content	None
Increased liver glycogen content	None
Partial abdominal muscle agenesis	None
Liver abscess	None
Hepatic abscess	None
Eosinophilic infiltration of the oesophagus	None
Eosinophilic infiltration of the esophagus	None
Hypoplastic gallbladder	None
Hypoplasia of the gallbladder	None
Hepatic cysts	None
Liver cysts	None
Midgut malrotation	None
Anal mucosal leukoplakia	None
Chronic diarrhea	None
Recurrent diarrhea	None
Diarrhea, recurrent	None
Hepatic vascular malformations	None
Liver vascular malformations	None
Intractable diarrhea	None
Nausea and vomiting	None
Hypoganglionosis	None
Kelosomia	None
Thoracoabdominal eventration	None
Celosomia	None
Abnormal faeces composition	None
Abnormal stool composition	None
Abnormal feces composition	None
Recurring pancreatitis	None
Recurring pancreas inflammation	None
Recurrent pancreatitis	None
Barret syndrome	None
Endobrachyesophagus	None
Barrett's esophagus	None
Barrett esophagus	None
Malformation of the hepatic ductal plate	None
Helicobacter pylori infection	None
Abnormality of the abdominal musculature	None
Abnormal morphology of the abdominal musculature	None
Hypoplasia of the small intestine	None
Underdeveloped small intestine	None
Chronic calcifying pancreatitis	None
Eosinophilic gastritis	None
Eosinophilic infiltration in the stomach mucosa	None
Feeding difficulties in infancy	None
Peritoneal effusion	None
Fecal urgency	None
Bowel urgency	None
Degenerative enteric neuropathy	None
Enteric neuronal degeneration	None
Noncirrhotic nodulation	None
Nodular transformation of liver	None
Partial nodular transformation of liver	None
Nodular regenerative hyperplasia of liver	None
Pancreatic squamous cell carcinoma	None
Squamous cell carcinoma of the pancreas	None
Nasal regurgitation	None
Acute hepatic steatosis	None
Acute fatty liver	None
Vestibular fistula	None
Rectovestibular fistula	None
Impaired oropharyngeal swallow response	None
Liver steatosis	None
Fatty infiltration of liver	None
Fatty liver	None
Hepatic steatosis	None
Steatosis	None
Intestinal lymphoid nodular hyperplasia	None
Anteriorly placed anus	None
Anteriorly displaced anus	None
Anus anteposition	None
Abnormal bowel sounds	None
Celiac sprue	None
Celiac disease	None
Total colonic aganglionosis	None
Zollinger-Ellison syndrome	None
Abnormal anus position	None
Ectopic anus	None
Anus malposition	None
Intestinal malabsorption	None
Malabsorption	None
Duodenal diverticula	None
Abnormal liver sonography	None
Anal canal squamous carcinoma	None
Total intestinal aganglionosis	None
Abnormal spleen morphology	None
Splenic cyst	None
Cyst on spleen	None
Abnormal GI motility	None
Abnormal gastrointestinal motility	None
Abnormal biliary tract physiology	None
Death of liver cells	None
Hepatocellular loss	None
Hepatocellular necrosis	None
Reduced pancreatic beta cells	None
Abnormal GI transit time	None
Abnormal gastrointestinal transit time	None
Dependency on IV nutrition	None
Dependency on intravenous nutrition	None
Bile duct paucity	None
Intrahepatic atresia of biliary duct	None
Intrahepatic biliary atresia	None
Esophageal carcinoma	None
Serrated polyposis	None
Serrated intestinal polyps	None
Juvenile colonic polyposis	None
Juvenile GI polyposis	None
Juvenile gastrointestinal polyposis	None
Cyst of the ductus choledochus	None
Choledochal cyst	None
Lymphonodular hyperplasia of the colon	None
Lymphoid nodular hyperplasia	None
Duodenal arteriovenous malformation	None
Incisional hernia	None
Recurrent abdominal hernia	None
Slowed or blocked flow of bile from liver	None
Cholestasis	None
Abnormal liver morphology	None
Decreased carnitine level in liver	None
Gastrointestinal tract tumor	None
Neoplasm of the gastrointestinal tract	None
Gastrointestinal tract neoplasia	None
GI tract tumor	None
Neoplasm of the GI tract	None
Gastrointestinal tract neoplasm	None
Atresia of the rectum	None
Rectal atresia	None
Abnormality of external features of the abdomen	None
Abnormality of the abdominal wall	None
Ileal atresia	None
Chronic liver inflammation	None
Chronic hepatitis	None
Low set umbilicus	None
Low-set umbilicus	None
Inferiorly positioned umbilicus	None
Pancreas abscess	None
Pancreatic abscess	None
Rectal polyps	None
Rectal polyposis	None
Multiple rectal polyps	None
Intestinal hypoplasia	None
Underdeveloped instestine	None
Hypoplastic intestines	None
Tenesmus	None
Gastric leiomyosarcoma	None
Fatal liver failure in infancy	None
Eosinophilic cholecystitis	None
Eosinophilic gallbladder infiltration	None
Projectile vomiting	None
Anal fistula	None
Fistula in ano	None
Abnormality of esophagus physiology	None
Functional abnormality of the esophagus	None
Exstrophy	None
Portosystemic collateral veins	None
Collateral biliary circulation	None
Collateral biliary veins	None
Nasogastric tube feeding	None
Death of digestive organ tissue due to poor blood supply	None
Gastrointestinal infarctions	None
GI infarctions	None
Increased stool urobilinogen concentration	None
Coffee grounds emesis	None
Coffee ground vomitus	None
Coffee grounds vomiting	None
Short 4th metacarpal	None
Short fourth metacarpals	None
Hypoplastic fourth metacarpal	None
Shortened 4th long bone of hand	None
Short 4th metacarpals	None
Pseudoepiphyses of the 4th finger	None
Uneven increase in bone density in the middle bone of the middle finger	None
Patchy sclerosis of the middle phalanx of the 3rd finger	None
Arthritis of the big toe	None
Hallux rigidus	None
Decreased carpal joint angles	None
Narrow carpal joint spaces	None
Polydactyly affecting the 3rd toe	None
Leg weakness	None
Lower extremity weakness	None
Lower limb weakness	None
Muscle weakness in lower limbs	None
Lower limb muscle weakness	None
Webbed toes	None
Syndactyly of feet	None
Syndactyly of toes	None
Foot syndactyly	None
Fused toes	None
Toe syndactyly	None
Abnormality of the palm	None
Slender long bone of upper arm	None
Slender humerus	None
Abnormality of the 2nd metacarpal	None
Abnormality of the 2nd long bone of hand	None
Bullet-shaped proximal phalanx of the 4th finger	None
Bullet-shaped innermost ring finger bone	None
Wide middle phalanx of the 5th finger	None
Broad middle phalanx of the 5th finger	None
Broad middle bone of pinkie finger	None
Broad middle bone of little finger	None
Broad middle bone of pinky finger	None
Hyperextensible digits	None
Hyperextensible fingers	None
Finger joint hyperextensibility	None
Hyperextensibility of the finger joints	None
Hyperextensible finger	None
Uneven increase in bone density in the outermost little toe bone	None
Uneven increase in bone density in the outermost pinky toe bone	None
Patchy sclerosis of the distal phalanx of the 5th toe	None
Uneven increase in bone density in the outermost pinkie toe bone	None
Thin fibula	None
Decreased fibular diameter	None
Triangular end part of the pinky finger	None
Triangular epiphyses of the 5th finger	None
Triangular end part of the little finger	None
Triangular end part of the pinkie finger	None
Delta-shaped epiphyses of the 5th finger	None
Ankylosis of feet small joints	None
Patchy sclerosis of middle phalanx of finger	None
Uneven increase in bone density in the middle finger bones of the hand	None
Patchy sclerosis of the middle phalanges of the hand	None
Opposable triphalangeal thumb	None
Metatarsus valgus	None
Short outermost bone of the 3rd toe	None
Short distal phalanx of the 3rd toe	None
Hypoplastic/small distal phalanx of the 3rd toe	None
Short distal phalanx of the third toe	None
Abnormality of radial metaphyses	None
Aplasia/hypoplasia of the 1st metatarsal	None
Absent/underdeveloped 1st long bone of foot	None
Absent/small 1st long bone of foot	None
Absent/underdeveloped middle bone of the middle finger	None
Aplasia/Hypoplasia of the middle phalanx of the 3rd finger	None
Absent/small middle bone of the middle finger	None
Bracket shaped end part of finger bones	None
Bracket epiphyses of the phalanges of the hand	None
Bracket epiphyses of the fingers	None
Broad proximal phalanx of toe	None
Broad innermost toe bone	None
Absent/underdeveloped middle index finger bone	None
Aplasia/Hypoplasia of the middle phalanx of the 2nd finger	None
Absent/small middle index finger bone	None
Absent/hypoplastic middle phalanx of 2nd finger	None
Hypoplastic/aplastic middle phalanx of index finger	None
Abnormality of the epiphyses of the 2nd toe	None
Abnormality of the end part of the 2nd toe bone	None
Flattened femoral head	None
Flattened femoral heads	None
Flat head of thigh bone	None
Sclerotic radial metaphysis with longitudinal striations	None
Duplication of the outermost little finger bone	None
Duplication of the outermost pinky finger bone	None
Duplication of the outermost pinkie finger bone	None
Partial/complete duplication of the distal phalanx of the 5th finger	None
Duplication of the distal phalanx of the 5th finger	None
Increased density of long bone diaphyses	None
Increased density of shaft of long bone	None
Irregular end part of long bone in upper arm	None
Irregular humeral epiphyses	None
Abnormality of the outermost pinky finger bone	None
Abnormality of the outermost pinkie finger bone	None
Abnormality of the terminal phalanx of the little finger	None
Abnormality of the distal phalanx of the 5th finger	None
Abnormality of the outermost little finger bone	None
Abnormality of the distal phalanx of the little finger	None
Camptodactyly of the third finger	None
Contracture of the proximal interphalangeal joint of the 3rd finger	None
Camptodactyly of the 3rd finger	None
Irregular distal femoral epiphysis	None
Irregular outermost thighbone end part	None
Absent fibulae	None
Fibular aplasia	None
Absent calf bone	None
Absent-hypoplastic fibulae	None
Curved phalanges of the 4th toe	None
Curved bones of 4th toe	None
Curved 4th toe phalanx	None
Small end part of the middle bone of the ring finger	None
Small epiphysis of the middle phalanx of the 4th finger	None
Curved phalanges of the 3rd finger	None
Curved bones of middle finger	None
Contracture of the distal interphalangeal joint of the 5th finger	None
Hemihypertrophy of upper limb	None
Overgrowth of one arm	None
Abnormality of the radius	None
Foot oligodactyly	None
Oligodactyly of feet	None
Missing toes	None
Osteolytic defects of the middle phalanx of the 4th toe	None
Abnormality involving the epiphyses of the upper limbs	None
Epihyseal plate abnormality of the upper limbs	None
Abnormality of upper limb epiphysis morphology	None
Abnormal shape of end part of upper limb long bones	None
Flattened humeral heads	None
Flattended head of long bone in upper arm	None
Duplication of innermost 2nd toe bone	None
Partial/complete duplication of the proximal phalanx of the 2nd toe	None
Duplication of the proximal phalanx of the second toe	None
Duplication of the proximal phalanx of the 2nd toe	None
Abnormality of the 5th long bone of foot	None
Abnormality of the fifth metatarsal bone	None
Sclerotic metaphyses	None
Metaphyseal sclerosis	None
Increased bone density in wide portion of long bone	None
Triangular end part of the innermost hand bones	None
Triangular epiphyses of the proximal phalanges of the hand	None
Fifth finger single interphalangeal crease	None
Single interphalangeal crease of fifth finger	None
Triangular shaped middle phalanx of the 3rd finger	None
Triangular shaped middle bone of the middle finger	None
Broad phalanges of the hand	None
Wide hand bones	None
Widening of phalanges of the hand	None
Small end part of the 2nd toe bone	None
Small epiphyses of the 2nd toe	None
Acral ulceration	None
Osteolytic defects of the proximal phalanx of the hallux	None
Fragmentation of the end part of the 1st long bone of hand	None
Fragmentation of the epiphysis of the 1st metacarpal	None
Bethlem phenomenon	None
Bethlem sign	None
Triphalangeal thumbs	None
Triphalangeal thumb	None
Accessory phalanx of the thumb	None
Digitalized thumb	None
Finger-like thumb	None
Triphalangy of thumb	None
Abnormality of index finger	None
Abnormality of the 2nd finger	None
Abnormal 2nd finger morphology	None
Bracket epiphyses of the proximal phalanges of the hand	None
Bracket shaped end part of the innermost hand bones	None
Radial deviation of thumb terminal phalanx	None
Stippling of the epiphyses of the 5th finger	None
Speckled calcifications in end part of pinky finger bone	None
Speckled calcifications in end part of pinkie finger bone	None
Speckled calcifications in end part of little finger bone	None
Large hamate bone	None
Large unciform bone	None
Abnormality of the epiphysis of the proximal phalanx of the 3rd toe	None
Abnormality of the end part of the innermost bone of the 3rd toe	None
Absent epiphysis of the distal phalanx of the 4th toe	None
Absent end part of the outermost bone of the 4th toe	None
Wide outermost end of long bone	None
Distal widening of metacarpals	None
Accelerated ankle bone maturation	None
Precociously ossified tarsal bones	None
Advanced tarsal ossification	None
Contracture of the metacarpophalangeal joint of the 2nd finger	None
Abnormality of the end part of outermost shinbone	None
Abnormality of the distal tibial epiphysis	None
Abnormality of the end part of outermost shankbone	None
Abnormal morphology of the proximal phalanx of the hallux	None
Abnormality of the proximal phalanx of the hallux	None
Abnormal innermost big toe bone	None
Abnormality of the mineralisation and ossification of bones of the feet	None
Abnormal ossification involving bones of the feet	None
Abnormal maturation of foot bones	None
Abnormal foot bone ossification	None
Ankle swelling	None
Hypoplasia involving bones of the lower limbs	None
Hypoplasia of the lower limbs	None
Underdeveloped lower limb bones	None
Lower limb undergrowth	None
Dislocated head of thigh bone	None
Dislocation of the femoral head	None
Dislocated femoral heads	None
Aplasia of the distal phalanges of the toes	None
Absent outermost bone of the toes	None
Irregular phalanges	None
Irregular finger bones	None
Polydactyly affecting the 2nd toe	None
Irregular epiphysis of the distal phalanx of the 4th finger	None
Irregular end part of the outermost bone of the ring finger	None
Abnormality of the middle phalanx of the 5th toe	None
Abnormality of the middle bone of the pinkie toe	None
Abnormality of the middle bone of the pinky toe	None
Abnormality of the middle bone of the little toe	None
Fusion of carpal bones	None
Synostosis of carpal bones	None
Fusion of wrist bones	None
Small end part of the big toe bone	None
Small epiphyses of the hallux	None
Symphalangism affecting the proximal phalanx of the 2nd finger	None
Fused innermost bone of index finger	None
Broad proximal phalanx of the hallux	None
Broad proximal phalanx of the big toe	None
Broad innermost bone of the big toe	None
Small finger	None
Delayed maturation of the head of the thigh bone	None
Delayed femoral head ossification	None
Cupped metaphyses of hand bones	None
Cupped wide portion of hand bones	None
