Inguinal hernia	HP:0000023
Retinal vasculitis	None
Incomplete congenital stationary night blindness	None
Ciliary zonule abnormality	None
Zonule of zinn abnormality	None
Abnormality of zinn's membrane	None
Abnormal suspensory ligament of lens morphology	None
Abnormality of the suspensory ligament of lens	None
Birdshot choroidal lesions	None
Epiphora	None
Tearing	None
Increased lacrimation	None
Watery eyes	None
Increased tears	None
Abnormal ocular alignment	None
Abnormality of chorioretinal pigmentation	None
Abnormality of foveal pigmentation	None
Reduced number of corneal endothelial cells	None
Slowly progressive visual loss	None
Progressive visual loss	None
Vision loss, progressive	None
Progressive vision loss	None
Decreased visual acuity, progressive	None
Progressive loss of vision	None
Loss of visual acuity	None
Progressive visual acuity loss	None
Visual loss, progressive	None
Progressive visual impairment	None
Mosaic corneal dystrophy	None
Map-dot-fingerprint corneal dystrophy	None
Inflammation of the outer white part of the eye	None
Scleritis	None
Peripheral vitreoretinal degeneration	None
Scleral schwannoma	None
Multiple pupils	None
Polycoria	None
Decreased corneal diameter	None
Cornea of eye less than 10mm in diameter	None
Microcornea	None
Diffuse optic disc pallor	None
Anterior lenticonus	None
Mild constriction of peripheral visual field	None
Mild peripheral visual field loss	None
Abnormal uvea morphology	None
Abnormality of the uvea	None
Anterior chamber cells grade 0	None
Conjunctival hamartoma	None
Optically empty vitreous	None
Optic nerve aplasia	None
Absent optic nerve	None
Aplastic optic nerve	None
Macular thickening	None
Abnormal manual kinetic perimetry test	None
Compensatory chin elevation	None
Compensatory head tilt/chin elevation	None
Compensatory head posture	None
Hypertensive retinopathy	None
Optic disc hypoplasia	None
Hypoplastic optic disks	None
Reduced OCT-measured macular thickness	None
Retinoblastoma	None
Retina tumor	None
Best corrected visual acuity 1.3 LogMAR	None
Convergent strabismus	None
Esodeviation	None
Best corrected visual acuity 1.2 LogMAR	None
Increased axial length of the globe	None
Increased axial globe length	None
Globe elongated	None
Increased front to back length of eyeball	None
Pinhole visual acuity 0.8 LogMAR	None
Posterior synechiae of the anterior chamber	None
Posterior synechiae	None
Iridolenticular adhesions	None
Axial myopia	None
Blue-yellow dyschromatopsia	None
Blue/yellow color vision defect	None
Dyschromatopsia, blue-yellow	None
Tritanomaly	None
Blue yellow color blindness	None
Retinal vascular malformation	None
Difficulty adjusting to changes in luminance	None
Superior rectus muscle weakness	None
Chloroquine retinopathy	None
Bull's eye maculopathy	None
Irregular astigmatism	None
Anterior megalophthalmos	None
Increased corneal diameter	None
Macrocornea	None
Megalocornea	None
Enlarged cornea	None
Day blindness	None
Hemeralopia	None
Nuclear punctate cataract	None
Foveal retinal pigment epithelial loss on macular OCT	None
Aplasia/Hypoplasia affecting the uvea	None
Absent/underdeveloped uvea	None
Divergence nystagmus	None
Ocular flutter	None
Photoreceptor outer segment loss on macular OCT	None
Corneal endothelial guttata	None
Corneal guttata	None
Conjunctival telangiectases	None
Conjunctival telangiectasia	None
Telangiectasia, conjunctival	None
Small dilated blood vessels near membrane covering front of eye and eyelids	None
Narrow retinal arterioles	None
Retinal arteriolar narrowing	None
Retinal arteriolar constriction	None
Constricted retinal arterioles	None
Global paralysis of gaze	None
Total ophthalmoplegia	None
Complete ophthalmoplegia	None
Total internal and external ophthalmoplegia	None
Cone rod dystrophy	None
Cone-rod retinal dystrophy	None
Cone/cone-rod dystrophy	None
Torn retina	None
Retinal perforation	None
Retinal tear	None
Incyclophoria	None
Visual acuity light perception without projection	None
Subacute deterioration of visual acuity	None
Slow decrease in sharpness of vision	None
Slow decrease in visual acuity	None
Decreased visual acuity, slowly progressive	None
Albinism, Ocular	None
Absent pigmentation in the eye	None
Ocular albinism	None
Best corrected visual acuity 0.7 LogMAR	None
Iridodonesis	None
Ptosis, bilateral congenital	None
Congenital bilateral ptosis	None
Congenital drooping of both upper eyelids	None
Ptosis, congenital bilateral	None
Peripheral retinal neovascularization	None
Abnormal Humphrey SITA 10-2 perimetry test	None
Peripheral retinal degeneration	None
Supranuclear ophthalmoplegia	None
Divergent strabismus	None
Exodeviation	None
Dendritic corneal epithelial ulcer	None
Herpetiform corneal ulcers	None
Herpetiform corneal ulceration	None
Paralytic strabismus	None
Neurogenic strabismus	None
Cyclodeviation	None
Internuclear ophthalmoplegia	None
Abnormal static perimetry test	None
Abnormal amplitude of light-adapted flicker electroretinogram	None
Reduced visual accommodation	None
Staphyloma	None
Scleral staphyloma	None
Supernormal dark-adapted bright flash electroretinogram b-wave	None
Abnormal eye movements, paroxysmal	None
Paroxysmal involuntary eye movements	None
Membranous cataract	None
Abnormal Amsler grid test	None
Subhyaloid heme	None
Subhyaloid hemorrhage	None
Narrow angle glaucoma	None
Corneal stromal edema	None
Retinal pigment epithelial loss on macular OCT	None
Unaided visual acuity 1.0 LogMAR	None
Monocular strabismus	None
Unilateral strabismus	None
Conjunctival hyperaemia	None
Conjunctival hyperemia	None
Conjunctival vascular congestion	None
Conjunctival injection	None
Enlarged flash visual evoked potentials	None
High flash visual evoked potentials	None
Compensatory chin depression	None
High myopia	None
Severe near sightedness	None
Severe myopia (> -6.00 diopters)	None
Severely close sighted	None
Severe myopia	None
Severely near sighted	None
Transient unilateral blurring of vision	None
Hemianopic blurring	None
Hemianoptic blurring of vision	None
Transient unilateral blurred vision	None
Increased vertical cup-to-disc ratio - 1.0	None
Corneal crystals	None
Corneal deposits	None
Cyclophoria	None
Limited extraocular movement	None
Limited extraocular movements	None
Excyclophoria	None
Intra-retinal fluid	None
Intraretinal fluid	None
Medial rectus muscle overaction	None
Increased vertical cup-to-disc ratio - 0.9	None
Speckled iris	None
Iris brushfield spots	None
Brushfield spots	None
Best corrected visual acuity 0.8 LogMAR	None
Anterior staphyloma	None
Best corrected visual acuity 2.0 LogMAR	None
Inferior oblique muscle restriction	None
Abnormality of the retina	None
Abnormal retina	None
Retinal disease	None
Anomaly of the retina	None
Abnormal retinal morphology	None
Retina issue	None
Nystagmus, horizontal	None
Horizontal nystagmus	None
Iris hamartomas	None
Lisch nodules	None
Vestibular nystagmus	None
Foveal depigmentation	None
Benign eye tumor	None
Epibulbar dermoids	None
Epibulbar dermoid	None
Limbal dermoid	None
Retinal hemorrhage	None
Retinal hemorrhages	None
Retinal bleeding	None
Inferior subluxated lens	None
Inferior lens subluxation	None
Horizontal pendular nystagmus	None
Nystagmus, congenital horizontal	None
Secondary exotropia	None
Sensory exotropia	None
Double vision	None
Diplopia	None
Bilateral congenital mydriasis	None
Retinal hamartoma	None
Mild hypermetropia	None
Mild hyperopia	None
Abnormal foveal morphology	None
Abnormality of the fovea	None
Staring eyes	None
Staring gaze	None
Vitelliform-like retinal lesions	None
Asymmetry of the corneas	None
Corneal asymmetry	None
Retinal crystals	None
Hyperopic astigmatism	None
Posterior Y-sutural cataracts	None
Posterior Y-sutural cataract	None
Ultra-low vision with retained motion projection	None
Supranuclear gaze palsy	None
Supranuclear gaze paralysis	None
Pulverulent cataract	None
Abnormally prominent line of Schwalbe	None
Prominent Schwalbe lines	None
Abnormal Pelli Robson contrast sensitivity chart test	None
Juxtafoveal choroidal neovascularization	None
Corectopia	None
Displaced pupil	None
Ectopia pupillae	None
Macular hypopigmentation	None
Aplasia/Hypoplasia affecting the fundus	None
Absent/small fundus	None
Superior rectus muscle overaction	None
Abnormal distribution of retinal arterioles and venules	None
Near sighted	None
Nearsightedness	None
Close sighted	None
Myopia	None
Near sightedness	None
Corneal dystrophy	None
Macular drusen	None
Lipid accumulation in macula	None
Abnormal visual accommodation	None
Irregular central macular autofluorescence	None
Abnormal paracentral response of multifocal electroretinogram	None
Crossed asymmetry of pattern reversal visual evoked potentials	None
Asymmetrical distribution of pattern reversal visual evoked potentials	None
Dysmetric saccades	None
Dysmetric eye saccades	None
Uncoordinated eye movement	None
Dysmetric eye movements	None
Progressive cone degeneration	None
Cone dystrophy	None
Progressive cone dystrophy	None
Abnormal eye movement	None
Eye movement issue	None
Abnormal extraocular movement	None
Abnormal extraocular movements	None
Abnormal eye motility	None
Abnormal movement of the globe of the eye	None
Abnormality of eye movement	None
Abnormal eye movements	None
Oculomotor abnormalities	None
Abnormal ocular movements	None
Abnormal motility of the globe of the eye	None
Ocular movement abnormalities	None
Eye movement abnormalities	None
Internal ophthalmoplegia	None
Saccular conjunctival dilatations	None
Saccular conjunctival aneurysms	None
Morning glory anomaly	None
Morning glory optic disc	None
Morning glory disc anomaly	None
Temporal optic disc pallor	None
Horner syndrome	None
Oculosympathetic palsy	None
Horner's syndrome	None
Anterior chamber cells grade 0.5+	None
Sub-retinal fluid	None
Subretinal fluid	None
Retinal dots	None
Foveal hyporeflective spaces on macular OCT	None
