Abnormality of the breast	HP:0000769
Pinhole visual acuity 0.6 LogMAR	None
Abnormality of macular vasculature	None
Abnormality morphology of the macular vasculature	None
Amaurosis fugax	None
Sub-RPE deposits	None
Abnormality of the cornea	None
Cornela disease	None
Abnormal cornea morphology	None
Corneal abnormality	None
Corneal abnormalities	None
Peripapillary chorioretinal atrophy	None
Juxtafoveal choroidal neovascularization	None
Retinoblastoma	None
Retina tumor	None
Breakdown of light-sensitive cells in back of eye	None
Retinal dystrophy	None
Vertical incomitant strabismus	None
Abnormal dark-adapted dim flash electroretinogram	None
Vitreomacular traction	None
VMT	None
Infantile constant exotropia	None
Infantile (constant) exotropia	None
Abnormality of the iris	None
Abnormality iris morphology	None
Nonprogressive restrictive external ophthalmoplegia	None
Alternating esotropia	None
Alternating cross eyes	None
Abnormal vitreous humor morphology	None
Microphthalmia, bilateral	None
Abnormally small eyeball on both sides	None
Decreased size of globes of eyes	None
Bilateral microphthalmos	None
Bilateral nanophthalmos	None
Decreased size of eyeballs	None
Retinopathy of prematurity zone I	None
ROP zone 1	None
Abnormal automated kinetic perimetry test	None
Simulated distance exotropia	None
Abnormal fundus autofluorescence imaging	None
non-detectable photopic ERG	None
Undetectable light-adapted electroretinogram	None
Absent photopic (cone) responses on ERG	None
Best corrected visual acuity 0.5 LogMAR	None
Foveal hyporeflective spaces on macular OCT	None
Focal subretinal deposits	None
Opsoclonus	None
Best corrected visual acuity 2.0 LogMAR	None
Angioid streaks	None
Angioid streaks of the retina	None
Angioid streaks of the fundus	None
Angioid streaks, retina	None
Laquer cracks of the retina	None
Biber haab dimmer dystrophy	None
Lattice corneal dystrophy	None
Conjunctival hamartoma	None
Nystagmus	None
Involuntary, rapid, rhythmic eye movements	None
Rubeosis iridis	None
Neovascularization of the iris	None
Inferior retinal coloboma	None
Bulging cornea	None
Keratoconus	None
Conical cornea	None
Abnormal electroretinography	None
Abnormal ERG	None
Abnormal electroretinogram	None
ERG abnormal	None
Juvenile cataract	None
Anterior uveitis	None
Moderate constriction of peripheral visual field	None
Moderate peripheral visual field loss	None
Speckled corneal dystrophy	None
Cystic retinal degeneration	None
Peripheral cystoid retinal degeneration	None
Peripheral cystoid degeneration	None
Constricted visual field	None
Constriction of peripheral visual field	None
Limited peripheral vision	None
Concentric narrowing of visual field	None
Visual field constriction	None
Constricted visual fields	None
Intraretinal hemorrhage	None
Supranuclear gaze palsy	None
Supranuclear gaze paralysis	None
Macular hypopigmentation	None
Heterotropia	None
Hyporeflective spaces on macular OCT	None
Abnormal amplitude of dark-adapted dim flash electroretinogram	None
Superior rectus muscle underaction	None
Central retinal exudate	None
Ocular flutter	None
Drooping of both upper eyelids	None
Bilateral ptosis	None
Fleischer's ring	None
Fleischer-Kayser ring	None
Kayser-Fleischer ring	None
Fleischer-Struempell ring	None
Intra-retinal fluid	None
Intraretinal fluid	None
Retinal fold	None
Retinal folds	None
Pink eye	None
Conjunctivitis, recurrent	None
Conjunctivitis	None
Retinal vascular malformation	None
Occult macular dystrophy	None
Enlarged flash visual evoked potentials	None
High flash visual evoked potentials	None
Abnormality of the trabecular meshwork	None
Abnormal trabecular meshwork morphology	None
Retinal racemose hemangioma	None
Retinal racemose haemangioma	None
Anterior chamber cells grade 1+	None
Iridocele	None
Corneal perforation	None
Loss of vision	None
Visual loss	None
Vision loss	None
Abnormal amplitude of light-adapted flicker electroretinogram	None
Pericentral retinitis pigmentosa	None
Subretinal pigment epithelium hemorrhage	None
Subretinal pigment epithelium haemorrhage	None
Abnormal light-adapted flicker electroretinogram	None
Abnormal light-adapted flicker ERG	None
Abnormal light-adapted 30Hz flicker electroretinogram	None
Abnormal light-adapted 30Hz flicker ERG	None
Abnormality of corneal epithelium	None
Abnormal corneal epithelium morphology	None
Abnormal EOG	None
Abnormal electrooculogram	None
Corneal neovascularisation	None
New blood vessel formation in cornea	None
Limbal neovascularization	None
Corneal vascularization	None
Corneal neovascularization	None
Anterior chamber cells grade 0.5+	None
Subretinal deposits	None
Congruous heteronymous hemianopia	None
Keratoglobus	None
Macrosaccadic oscillations	None
Lateral rectus muscle weakness	None
Abnormality of pattern reversal VEP	None
Abnormality of pattern reversal visual evoked potentials	None
Corneal annulus	None
Corneal arcus	None
Gerontoxon	None
Arcus senilis	None
Arcus juvenilis	None
Anterior embryotoxon	None
Arcus lipoidis	None
Uncontrolled eye movements	None
High hyperopia	None
High hypermetropia	None
High-grade hypermetropia	None
Severe long-sightedness	None
Severe farsightedness	None
Slow pupillary light response	None
Lens opacity	None
Cloudy lens	None
Cataracts	None
Cataract	None
Clouding of the lens of the eye	None
Lens opacities	None
Decreased depth of eye sockets	None
Decreased depth of orbits	None
Shallow eye sockets	None
Shallow orbits	None
Small shallow orbits	None
Reduced number of corneal endothelial cells	None
Premacular hemorrhage	None
Absent tear secretion	None
Absent lacrimal fluids	None
Alacrima	None
Absence of tears in the eyes	None
Foveoschisis	None
Retinoschisis involving the fovea	None
Best corrected visual acuity 1.1 LogMAR	None
Lentiglobus	None
Bulging of eye lens	None
Chorioretinal dysplasia	None
Late onset congenital glaucoma	None
Abnormal eye movement	None
Eye movement issue	None
Abnormal extraocular movement	None
Abnormal extraocular movements	None
Abnormal eye motility	None
Abnormal movement of the globe of the eye	None
Abnormality of eye movement	None
Abnormal eye movements	None
Oculomotor abnormalities	None
Abnormal ocular movements	None
Abnormal motility of the globe of the eye	None
Ocular movement abnormalities	None
Eye movement abnormalities	None
Phacodonesis	None
Trembling eye lens	None
Phakodonesis	None
Eccentric fixation	None
Eccentric visual fixation	None
Falciform retinal fold	None
Congenital retinal fold	None
Choroidal neovascularization	None
Marginal corneal dystrophy	None
Foveal hemorrhage	None
Foveal haemorrhage	None
Abnormal inferior rectus muscle physiology	None
Polypoidal choroidal vasculopathy	None
Retinopathy of prematurity plus	None
ROP plus	None
Membranous vitreous phenotype	None
Membranous vitreous	None
Membranous vitreous appearance	None
Membranous anomaly	None
Retinal degeneration	None
Retina degeneration	None
Abnormal pinhole visual acuity test	None
Neoplasia of the eye	None
Neoplasm of the eye	None
Eye tumor	None
Retinal coloboma	None
Hole in the back of the eye	None
Sutural cataract	None
Blue-yellow dyschromatopsia	None
Blue/yellow color vision defect	None
Dyschromatopsia, blue-yellow	None
Tritanomaly	None
Blue yellow color blindness	None
Cyclotropia	None
Congenital nystagmus	None
Nystagmus, congenital	None
Iris hamartomas	None
Lisch nodules	None
Abnormal Hardy-Rand-Rittler plate test	None
Retinal capillary hemangioma	None
Retinal hemangioblastoma	None
Very severe constriction of peripheral visual field	None
Very severe peripheral visual field loss	None
Staring eyes	None
Staring gaze	None
Anterior chamber flare grade 1+	None
Chorioretinal thinning	None
Chorioretinal atrophy	None
Lateral rectus muscle underaction	None
Descemet Membrane Folds	None
Nonarteritic anterior ischemic optic neuropathy	None
Chorioretinal lacunae	None
Lacunar retinal depigmentation	None
Central heterochromia	None
Ring iris heterochromia	None
Hypodeviation	None
Horizontal incomitant strabismus	None
Moderate myopia	None
Lateral rectus muscle overaction	None
Multiple bilateral congenital hypertrophy of retinal pigment epithelium	None
Multiple bilateral CHRPE	None
Pattern dystrophy of the retina	None
Noninflammatory retina disease	None
Retinopathy	None
Intermediate uveitis	None
Alternating hypotropia	None
Cyclophoria	None
Dilated choroidal vessels	None
Dilatation of large choroidal vessels	None
Vitreous snowballs	None
Rod monochromacy	None
Rod monochromatism	None
Achromatopsia	None
Lazy eye	None
Wandering eyes	None
Amblyopia	None
Wandering eye	None
Macular schisis	None
Keyhole iris	None
Cat eye	None
Iris coloboma	None
Coloboma of the iris	None
Coloboma of iris	None
Abnormal light- and dark-adapted electroretinogram	None
Abnormal rod and cone electroretinogram	None
Colorblindness, partial, protan series	None
Red-weak	None
Protanomaly	None
Inner retinal layer loss on macular OCT	None
Retinal exudate	None
Retinal exudates	None
Reduced OCT-measured foveal thickness	None
Fasciculiform cataract	None
Aculeiform cataract	None
Needle-shaped cataract	None
Frosted cataract	None
Sub-ILM hemorrhage	None
Sub-inner limiting membrane hemorrhage	None
Sub-inner limiting membrane haemorrhage	None
Sub-ILM haemorrhage	None
Microcoria	None
Iridodonesis	None
Global paralysis of gaze	None
Total ophthalmoplegia	None
Complete ophthalmoplegia	None
Total internal and external ophthalmoplegia	None
Heterophoria	None
Anterior polar cataract	None
Polar cataract, anterior	None
Age-related cataract	None
Clouding of the lens of the eye with age	None
Decreased visual acuity, nonprogressive	None
Nonprogressive visual loss	None
Cyclic esotropia	None
Distance exotropia	None
Abnormal amplitude of pattern onset/offset VEP	None
Abnormal amplitude of pattern onset/offset visual evoked potentials	None
Hyaloid vascular remnant and retrolental mass	None
Granular corneal dystrophy	None
Punctate corneal opacities	None
Punctate opacification of the cornea	None
Ciliary body melanoma	None
Abnormality of visual tracking	None
Impairment of visual pursuit	None
Impaired smooth pursuit	None
Abnormal visual pursuit	None
Progressive night blindness	None
Consecutive esotropia	None
Branch retinal artery occlusion	None
Abnormal timing of pattern onset/offset visual evoked potentials	None
Dense posterior cortical cataract	None
Hypermetric horizontal saccades	None
Large central visual field defect	None
Large central loss of field of vision	None
Pinhole visual acuity 1.1 LogMAR	None
Retinal arterial tortuosity	None
Retinal artery tortuousity	None
Anomalous trichromacy	None
Episcleritis	None
Inflammation of the thin layer on top of the white part of eye	None
Abnormal rectus muscle physiology	None
Compensatory head posture	None
Abnormality of the curvature of the cornea	None
Steep corneal curvature	None
Increased corneal curvature	None
Iridocyclitis	None
Abnormal foveal morphology on macular OCT	None
Abnormality of binocular vision	None
Red eye	None
Impaired horizontal smooth pursuit	None
Impaired horizontal visual pursuit	None
Abnormal horizontal ocular pursuit	None
Blind spot located at fixation point	None
Central blind spot	None
Central scotomata	None
Central scotoma	None
Degenerative vitreoretinopathy	None
Increased tear production	None
Blue cone monochromacy	None
Incomplete achromatopsia	None
Blue cone monochromatism	None
S-cone monochromacy	None
Against the rule astigmatism	None
Hypoplastic gallbladder	None
Hypoplasia of the gallbladder	None
Accessory spleen	None
Impaired release of bile from liver	None
Intrahepatic cholestasis	None
Mallory-Weiss tear	None
Abnormal GI transit time	None
Abnormal gastrointestinal transit time	None
Anomalous hepatic venous drainage into the left atrium	None
Congenital absence of portal vein	None
Missing portal vein	None
CAPV	None
Gastric arteriovenous malformation	None
Small intestinal polyposis	None
GI angiodysplasia	None
Gastrointestinal angiodysplasia	None
Decreased mitochondrial complex III activity in liver tissue	None
Partial abdominal muscle agenesis	None
Gut duplication	None
Bowel duplication	None
Intestinal duplication	None
Liver abscess	None
Hepatic abscess	None
Hypersplenism	None
Esophageal exudate	None
Chyloperitoneum	None
Chylous ascites	None
Esophageal web	None
Heartburn	None
Acid reflux disease	None
Acid reflux	None
GERD	None
Gastroesophageal reflux	None
Gastroesophageal reflux disease	None
Eosinophilic micro-abscess formation in the esophagus	None
Eosinophilic microabscess formation in the esophagus	None
Eosinophilic microabscess formation in the oesophagus	None
Anomaly of the rectum	None
Abnormality of the rectum	None
Pancreatic squamous cell carcinoma	None
Squamous cell carcinoma of the pancreas	None
Biliary tract neoplasm	None
Neoplasia of the biliary tract	None
Thoracoabdominal wall defect	None
Thoracoabdominal schisis	None
Intestinal bleeding	None
Intestinal hemorrhage	None
Ganglioneuromatosis	None
Splenogonadal fusion	None
Hepatic cirrhosis	None
Liver cirrhosis	None
Scar tissue replaces healthy tissue in the liver	None
Cirrhosis	None
Abnormal connection between rectum and vagina	None
Rectovaginal fistula	None
Zollinger-Ellison syndrome	None
Abnormal liver function tests during pregnancy	None
Abnormal liver function tests during pregnancy, resolves postpartum	None
Pancreatic islet cell adenoma	None
Hepatic cysts	None
Liver cysts	None
Microgastria	None
Chronic hepatitis due to cryptosporidium infection	None
Hepatitis, chronic, due to cryptosporidium infection	None
Abnormality of the anus	None
Hyperplastic colonic polyposis	None
Abdominal discomfort	None
Stomach pain	None
Gastrointestinal pain	None
Pain in stomach	None
Abdominal pain	None
Upset stomach	None
Gastro pain	None
Anal canal adenocarcinoma	None
Eosinophilic infiltration of the oesophagus	None
Eosinophilic infiltration of the esophagus	None
Anal margin neoplasm	None
Increased hepatic glycogen content	None
Increased liver glycogen content	None
Chylolymphatic mesenteric cyst	None
Stomach tumor	None
Neoplasia of the stomach	None
Neoplasm of the stomach	None
Increased gastric cancer	None
Splenic cyst	None
Cyst on spleen	None
Secretory diarrhea	None
Prune belly	None
Femoral hernia	None
Crural hernia	None
Abnormal anus position	None
Ectopic anus	None
Anus malposition	None
Brown pigment gallstones	None
Celiac sprue	None
Celiac disease	None
Degenerative liver disease	None
Hemoperitoneum	None
Hematoperitoneum	None
Meconium ileus	None
Meconium ileus on ultrasonography	None
Meconium ileus in neonates	None
Distal intestinal obstruction syndrome	None
Abdominal situs ambiguus	None
Cholesterol gallstones	None
Splenopancreatic fusion	None
Annular pancreas	None
Imperforate anus	None
Anal atresia	None
Absent anus	None
Liver steatosis	None
Fatty infiltration of liver	None
Fatty liver	None
Hepatic steatosis	None
Steatosis	None
Abnormal large intestinal mucosa morphology	None
Hypoganglionosis	None
Abnormal liver morphology	None
Giant cell hepatitis shown on biopsy	None
Giant cell hepatitis on biopsy	None
Giant cell hepatitis on liver biopsy	None
Giant cell hepatitis	None
Duodenal atrophy	None
Dyspepsia	None
Indigestion	None
Pancreatic lymphangiectasis	None
Cholecystitis	None
Gallbladder inflammation	None
Primary peritoneal carcinoma	None
Slowed or blocked flow of bile from liver	None
Cholestasis	None
Hiatus hernia	None
Stomach hernia	None
Hiatal hernia	None
Rectourethral fistula	None
Urethrorectal fistula	None
Protein avoidance	None
Coarsened hepatic echotexture	None
Gastrointestinal bleeding	None
Gastrointestinal hemorrhage	None
GI hemorrhage	None
Intestinal perforation	None
Abnormality of intestinal smooth muscle morphology	None
Absent/underdeveloped spleen	None
Aplasia/Hypoplasia of the spleen	None
Absent/small spleen	None
Bile duct cancer	None
Cholangiocarcinoma	None
Hypoperistalsis	None
Intestinal hypoperistalsis	None
Abnormal biliary tract physiology	None
Fluctuating hepatomegaly	None
Stomach churning	None
Hyperperistalsis	None
Abnormal pancreas size	None
Multilobulated spleen	None
Multi-lobulated spleen	None
Abnormal connection between trachea and esophagus	None
Tracheoesophageal fistula	None
Abnormal hepatic glycogen storage	None
Hepatic arteriovenous malformation	None
Liver arteriovenous malformation	None
Meconium peritonitis	None
Tenesmus	None
Abnormality of the gallbladder	None
Anomaly of the gallbladder	None
Desmoid tumors	None
Abnormal layering of muscularis propria	None
Segmental additional circular muscle coat	None
Muscularis propria malformation	None
Malrotation of small bowel	None
Malrotation of the small intestine	None
Protuberant abdomen	None
Belly sticks out	None
Abdominal protuberance	None
Extended belly	None
Gastrointestinal hamartomatous polyps	None
Hamartomatous polyps	None
Gastrointestinal hamartoma	None
Hamartomatous polyposis	None
Recurrent gastroenteritis	None
Ectopia vesicae	None
Bladder exstrophy	None
Esophageal pouch	None
Esophageal diverticulum	None
Abdominal mass	None
Hepatic vascular malformations	None
Liver vascular malformations	None
Intermittent diarrhea	None
Gastro-jejunal tube feeding in infancy	None
Gastrojejunal tube feeding in infancy	None
Duodenal cancer	None
Duodenal adenocarcinoma	None
Biliary dyskinesia	None
Acute liver inflammation	None
Acute hepatitis	None
Short-segment aganglionic megacolon	None
Esophageal furrows	None
Supernumerary spleens	None
Extra spleen	None
Duodenal aganglionosis	None
Clostridium difficile colitis	None
Multiple small bowel atresias	None
Acute hepatic steatosis	None
Acute fatty liver	None
Hepatic agenesis	None
Liver agenesis	None
Failed liver development	None
Intrahepatic cholestasis with episodic jaundice	None
Benign gastrointestinal tract tumors	None
Benign GI tract tumors	None
Non-cancerous GI tumors	None
Juvenile colonic polyposis	None
Pancreas abscess	None
Pancreatic abscess	None
GI duplication	None
Gastrointestinal duplication	None
Anal canal squamous carcinoma	None
Reye syndrome-like episodes	None
Stercoraceous vomiting	None
Fecal vomiting	None
Feculent vomiting	None
Jejunal adenocarcinoma	None
Neoplasm of the colon	None
Colon tumor	None
Gastrointestinal polyps	None
Intestinal polyposis	None
Multiple intestinal polyps	None
Growths in inner lining of intestine	None
Lymphoid cholangitis	None
Pancreatic cysts	None
Pancreatic cyst	None
Multiple pancreatic cysts	None
Fecal incontinence	None
Bowel incontinence	None
Loss of bowel control	None
Anal incontinence	None
Neoplasm of the small intestine	None
Small intestine tumor	None
Black pigment gallstones	None
Megaduodenum	None
Rectal polyps	None
Rectal polyposis	None
Multiple rectal polyps	None
Fluctuating splenomegaly	None
Viral hepatitis	None
Abnormal faeces composition	None
Abnormal stool composition	None
Abnormal feces composition	None
Liver dysfunction	None
Decreased liver function	None
Liver dysfunction, mild	None
Abdominal rigidity	None
Rigid abdomen	None
Death of liver cells	None
Hepatocellular loss	None
Hepatocellular necrosis	None
Duodenal stenosis	None
Duodenal stenosis/atresia	None
Suppurative cholangitis	None
Multiple intestinal neurofibromatosis	None
Inflammation of the peritoneum	None
Peritonitis	None
Anal margin melanoma	None
Intractable diarrhea	None
Gastric leiomyosarcoma	None
Abnormality of digestive system physiology	None
Chronic diarrhea	None
Recurrent diarrhea	None
Diarrhea, recurrent	None
Abnormality of external features of the abdomen	None
Abnormality of the abdominal wall	None
Lipid accumulation in hepatocytes	None
Multiple bile duct hamartomas	None
Multiple biliary hamartomas	None
Von Meyenburg complexes	None
Biliary hamartoma	None
Volvulus	None
Degenerative enteric neuropathy	None
Enteric neuronal degeneration	None
Abnormality of the jejunum	None
Abnormality of mesentery morphology	None
Abnormality of the mesentery	None
Anal fissure	None
Anal erosion	None
Malposition of the stomach	None
Gastric malposition	None
Abnormal stomach location	None
Gastric ectopia	None
Cystic artery pseudoaneurysm	None
Decreased carnitine level in liver	None
Paralytic ileus	None
Incisional hernia	None
Recurrent abdominal hernia	None
Eosinophilic cholecystitis	None
Eosinophilic gallbladder infiltration	None
Increased hepatocellular lipid droplets	None
Abnormality of enteric nervous system morphology	None
Achalasia	None
Achalasia of the esophagus	None
Decreased hepatic echogenicity	None
Hypoechogenic liver	None
Abnormality of exocrine pancreas physiology	None
Abnormal exocrine pancreatic function	None
Abnormal hepatic echogenicity	None
Abnormal spleen physiology	None
Rectal perforation	None
Gastric cancer	None
Stomach cancer	None
Abnormal liver iron concentration	None
Abnormal liver iron level	None
Abnormal hepatic iron concentration	None
Abdominal muscular hypoplasia	None
Hypoplasia of the abdominal wall musculature	None
Abnormality of the duodenum	None
Gastrointestinal atony	None
Ileus	None
Anal margin basal cell carcinoma	None
Neuromuscular dysphagia	None
Abnormality of the ileum	None
Abnormal ileum morphology	None
Impaired oral bolus formation	None
Vestibular fistula	None
Rectovestibular fistula	None
Narrowing of esophagus due to inflammation and scar tissue	None
Esophageal stricture	None
Hypoactive bowel sounds	None
Decreased bowel sounds	None
Small intestinal dysmotility	None
Vomitting blood	None
Hematemesis	None
Barret syndrome	None
Endobrachyesophagus	None
Barrett's esophagus	None
Barrett esophagus	None
Stercoral ulcer	None
Recto-sigmoid colon stercoral ulcer	None
Colon ulcer	None
Rectocele	None
Ineffective esophageal peristalsis	None
Narrowing of the esophagus	None
Esophageal stenosis	None
Intrahepatic duct deficiency	None
Reduced number of intrahepatic bile ducts	None
Hepatic ductopenia	None
Abnormal GI motility	None
Abnormal gastrointestinal motility	None
Frequent Giardia lamblia infestation	None
Colonic stenosis	None
Narrowing of the colon	None
Stenosis of the colon	None
Noncirrhotic nodulation	None
Nodular transformation of liver	None
Partial nodular transformation of liver	None
Nodular regenerative hyperplasia of liver	None
Primary gastric lymphoma	None
Gastric lymphoma	None
Morphological abnormality of the gastrointestinal tract	None
Morphological abnormality of the GI tract	None
Morphological anomaly of the digestive system	None
Abnormal shape of the digestive system	None
Omphalocele	None
Omphalocoele	None
Cloacal abnormality	None
Abnormal biliary tract morphology	None
Anomaly of the biliary tract	None
Enlarged vein in esophagus	None
Esophageal varix	None
Esophageal varices	None
Abnormal intestine morphology	None
Enteropathy	None
Abnormality of the intestine	None
Patchy sclerosis of middle phalanx of finger	None
Uneven increase in bone density in the middle finger bones of the hand	None
Patchy sclerosis of the middle phalanges of the hand	None
Hypoplasia of the phalanges of the toes	None
Small toe bones	None
Delta-shaped epiphyses of the 3rd finger	None
Triangular epiphyses of the 3rd finger	None
Triangular end part of middle finger bone	None
Broad middle phalanges of the toes	None
Broad middle bones of the toes	None
Decreased carpal joint angles	None
Narrow carpal joint spaces	None
Complete duplication of the distal phalanx of the 5th finger	None
Complete duplication of the outermost little finger bone	None
Complete duplication of the outermost pinky finger bone	None
Complete duplication of the outermost pinkie finger bone	None
Broad middle phalanges of finger	None
Broad middle phalanges of the hand	None
Broad middle finger bones	None
Broad middle phalanx of finger	None
Partial duplication of the middle phalanx of the 4th finger	None
Partial duplication of the middle bone of the ring finger	None
Multiple palm lines	None
Multiple palmar creases	None
Medial deviation of toes	None
Tibial deviation of toes	None
Abnormality of tibial epiphyses	None
Abnormality of end part of shinbone	None
Increased bone density in the middle bone of the 4th toe	None
Sclerosis of the middle phalanx of the 4th toe	None
Flat capital femoral epiphyses	None
Flat femoral capital epiphyses	None
Flat end part of innermost thighbone	None
Flattened proximal femoral epiphyses	None
Flat proximal femoral epiphyses	None
Flat capital femoral epiphysis	None
Polydactyly affecting the 2nd toe	None
Sclerosis of middle toe phalanx	None
Sclerosis of the middle phalanges of the toes	None
Increased bone density in middle toe bone	None
Stippling of the epiphysis of the distal phalanx of the 3rd finger	None
Speckled calcifications in end part of the outermost long bone of the middle finger	None
Absent toe	None
Aplasia of toe	None
Aplasia of the toes	None
Absent toes	None
Abnormality of the epiphysis of the middle phalanx of the 2nd finger	None
Epiphyseal abnormality of middle phalanx of the 2nd finger	None
Abnormality of end part of the middle bone of the index finger	None
Polydactyly of feet	None
Polydactyly of the foot	None
Foot polydactyly	None
Duplication of bones of the toes	None
Pseudoepiphysis of the distal phalanx of the 3rd toe	None
Camptodactyly of 2nd finger	None
Contracture of the proximal interphalangeal joint of the 2nd finger	None
Camptodactyly of index finger	None
Camptodactyly of second finger	None
Shortening of all distal phalanges of the toes	None
Shortening of all outermost bone of the toes	None
Small epiphyses of the toes	None
Small end part of the toe bones	None
Type E brachydactyly	None
Periosteal new bone of humeral diaphysis	None
Talipes foot deformities	None
Talipes	None
Fused outermost and middle bones of ring finger	None
Distal/middle symphalangism of 4th finger	None
Symphalangism of the distal and middle phalanges of the 4th finger	None
Humeral cortical irregularity	None
Pseudoepiphyses of the middle phalanges of the hand	None
Bracket epiphyses of the 3rd finger	None
Bracket shaped end part of middle finger bone	None
Hand deformities	None
Abnormality of the hand	None
Abnormal hands	None
Hand anomalies	None
Tibial pseudoarthrosis	None
Clubbed toes	None
Clubbing of feet	None
Clubbing of toes	None
Small end part of proximal long bond of index finger	None
Small epiphysis of the proximal phalanx of the 2nd finger	None
Absent/small outermost bone of pinkie finger	None
Absent/underdeveloped outermost bone of pinky finger	None
Absent/small outermost bone of pinky finger	None
Aplasia/Hypoplasia of the distal phalanx of the 5th finger	None
Absent/small outermost bone of little finger	None
Pseudoepiphyses of the hallux	None
Synostosis involving the elbow	None
Bone fusion involving the elbow	None
Unilateral radial aplasia	None
Small end part of outermost thighbone	None
Small distal femoral epiphysis	None
Patchy sclerosis of the distal phalanx of the thumb	None
Uneven increase in bone density in the outermost bone of the thumb	None
Aplasia/Hypoplasia of the distal phalanx of the thumb	None
Absent/small outermost thumb bone	None
Absent/underdeveloped outermost thumb bone	None
Fused bones of 3rd toe	None
Symphalangism affecting the phalanges of the 3rd toe	None
Sclerosis of hallux phalanx	None
Increased bone density in big toe bone	None
Sclerosis of the phalanges of the hallux	None
Dislocations of the elbows	None
Elbow dislocation	None
Elbow dislocations	None
Radiohumeral dislocation	None
Radiocapitellar dislocation	None
Ulnohumeral dislocation	None
Absent proximal radial epiphyses	None
Speckled calcifications in end part of the outermost bone of pinky finger	None
Speckled calcifications in end part of the outermost bone of little finger	None
Stippling of the epiphysis of the distal phalanx of the 5th finger	None
Speckled calcifications in end part of the outermost bone of pinkie finger	None
Duplication of the bones of the pinkie toe	None
Duplication of the bones of the pinky toe	None
Duplication of the phalanges of the fifth toe	None
Duplication of the phalanges of the 5th toe	None
Partial/complete duplication of the phalanges of the 5th toe	None
Duplication of the bones of the little toe	None
Palmoplantar keratosis with erythema and scale	None
Humerus varus	None
Contractures of the carpometacarpal joint of the thumb	None
Angulated humerus	None
Angulated long bone in upper arm	None
Hypoplasia of the lesser trochanter	None
Lesser trochanter hypoplasia	None
Sclerosis of the middle phalanx of the 5th finger	None
Increased bone density in the middle bone of the little finger	None
Increased bone density in the middle bone of the pinkie finger	None
